time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2082.23,3281.43,4107.14
0.04,0,61.12,1901.65,2883.18,4082.35
0.05,0,56.92,2002.27,2969.46,4118.37
0.06,0,56.5,301.91,2148.35,3243.62
0.07,0,60.93,455.06,1893.35,2988.36
0.08,0,62.96,583.46,1794.05,2894.04
0.09,0,62.22,705.34,2021.19,3084.19
0.1,0,65.68,847.59,2832.35,2991.69
0.11,0,67.09,799.61,2848.07,3063.79
0.12,0,73.38,404.15,904.52,3030.89
0.13,162.2,81.43,454.11,760.2,2974.29
0.14,160.93,85.53,488.68,801.04,2946.63
0.15,160.95,86.4,505.95,811.34,2995.85
0.16,162.19,85.42,456.02,777.52,2947.65
0.17,163.98,84.49,443.55,727.99,2976.75
0.18,164.08,84.16,435.34,725.64,2965.55
0.19,162.89,84.13,441.53,745.06,2952.05
0.2,161.93,83.28,437.37,788.2,2938.41
0.21,161.53,81.7,448.81,804.3,2896.54
0.22,162.32,80.53,529.54,772.57,2696.62
0.23,165.31,81.83,514.74,848.1,2805.27
0.24,168.16,83.19,521.28,921.96,2775.91
0.25,170.65,82.71,496.93,1479.75,2647.2
0.26,171.59,82.06,505.12,1582.05,2427.51
0.27,170.82,81.27,518.58,2066.59,2556.34
0.28,170.1,80.8,503.08,2147.06,2571.46
0.29,169.55,80.8,515.67,2243.82,2863.37
0.3,168.83,80.54,450.48,2309.85,2971.7
0.31,167.8,80.06,483.26,2380.27,3000.83
0.32,166.91,79.52,517.16,2381.55,3033.82
0.33,166.26,79.2,505.21,2351.64,3040.15
0.34,165.37,78.96,531.83,2366.89,3072.84
0.35,164.57,78.66,486.28,2258.69,3067.4
0.36,163.76,78.74,459.87,2113.47,3044.35
0.37,162.4,79.03,459.92,1566.69,2119.02
0.38,160.75,79.36,460.22,1720.25,1989.74
0.39,158.93,79.69,461.67,1520.86,2004.14
0.4,156.24,79.79,463.66,1452.11,1965.85
0.41,152.55,79.87,460.33,1356.27,1918.9
0.42,148.86,80.49,442.79,1019.43,1925.6
0.43,145.25,80.84,437.75,1541.8,1963.11
0.44,141.65,80.86,440.74,1586.67,2110.41
0.45,137.7,80.6,442.75,1436.05,2174.2
0.46,133.41,80.36,436.61,1351.16,2334.32
0.47,130.9,80.9,420.4,1281.19,2686.77
0.48,129.03,80.65,402.73,1277.92,2810.76
0.49,125.42,78.38,378.58,1297.67,2898.24
0.5,119.27,75.91,332.26,1574.36,3089.9
0.51,118.96,74.49,304.96,1475.81,3106.48
0.52,120.13,74.02,396.66,1311.88,2867.49
0.53,124.28,75.86,460.61,1041.57,3088.13
0.54,124.86,80.1,491.77,953.78,2812.47
0.55,124.14,83.56,557.21,1010.98,2777.55
0.56,123.19,85.03,589.52,1148.34,2766.17
0.57,122.12,85.44,598.07,1313.77,2704.94
0.58,121,85.14,601.67,1344.2,2632.27
0.59,120.22,84.6,603.34,1423.68,2546.43
0.6,119.79,84.32,604.21,1488.58,2503.26
0.61,119.4,84.27,597.93,1562.7,2456.41
0.62,118.72,84.16,587.29,1646.13,2444.54
0.63,117.58,84.02,578.39,1681.65,2377.98
0.64,116.27,83.93,572.08,1737.7,2316.92
0.65,114.96,83.05,558.49,1819.8,2302.44
0.66,112.62,81.21,528.91,1831.53,2286.15
0.67,110.65,79.56,504.61,1899.07,2308.28
0.68,108.99,78.82,450.7,1939.76,2286.43
0.69,108.29,78.03,418.25,1982.53,2291.98
0.7,0,75.5,407.21,2042.78,2110.51
0.71,0,72.38,539.42,2042.57,2725.23
0.72,0,69.61,534.66,1795.82,2514.45
0.73,0,68.9,384.45,1682.26,2251.33
0.74,106.67,68.16,383.89,1862.44,2515.91
0.75,108.04,67.2,331.45,1890.55,2600.19
0.76,109.48,67.28,426.09,1965.65,2549.97
0.77,0,67.52,507.4,1952.18,2888.26
0.78,0,66.79,566.43,1917.47,2760.42
0.79,0,65.48,529.15,1812.8,2507.89
0.8,0,65.76,390.26,1562.26,2299.95
0.81,0,66.42,292.01,1469.44,2220.88
0.82,0,64.93,369.59,1589.47,2333.11
0.83,0,60.7,422.91,1691.61,2645.53
